"Banka 7,5 9:53 10:12 10:27 10:47 11:07 11:27 11:47 12:07 12:27 12:47 13:07 13:23 13:42 13:53 14:12 14:23 14:42"
"Luka 8,5 9:55 10:14 10:29 10:49 11:09 11:29 11:49 12:09 12:29 12:49 13:09 13:25 13:44 13:55 14:14 14:25 14:44"
PH Sonce 9:56 10:15 10:30 10:50 11:10 11:30 11:50 12:10 12:30 12:50 13:10 13:26 13:45 13:56 14:15 14:26 14:45
"Supernova 9,1 9:57 10:16 10:31 10:51 11:11 11:31 11:51 12:11 12:31 12:51 13:11 13:27 13:46 13:57 14:16 14:27 14:46"
"Koper  10,0 9:59 10:18 10:33 10:53 11:13 11:33 11:53 12:13 12:33 12:53 13:13 13:29 13:48 13:59 14:18 14:29 14:48"
Režim obratovanja: vozi ob delovnikih celo leto razen julija in avgusta. Veljavnost: 18.11.2022Postajališča
PostajališčaLinija 2: Koper - Semedela - Markovec - Bolnica - Koper
Km 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
"Koper 0,0 14:35 14:50 15:05 15:20 15:35 15:50 16:05 16:20 16:35 16:50 17:05 17:20 17:40 18:00 18:20 18:40 19:00"
"Supernova 0,9 14:37 14:52 15:07 15:22 15:37 15:52 16:07 16:22 16:37 16:52 17:07 17:22 17:42 18:02 18:22 18:42 19:02"
Barka II 14:38 14:53 15:08 15:23 15:38 15:53 16:08 16:23 16:38 16:53 17:08 17:23 17:43 18:03 18:23 18:43 19:03
"Sv.Ana V.n. 1,8 14:41 14:56 15:11 15:26 15:41 15:56 16:11 16:26 16:41 16:56 17:11 17:26 17:46 18:06 18:26 18:46 19:06"
"Kosovelov trg 2,3 14:42 14:57 15:12 15:27 15:42 15:57 16:12 16:27 16:42 16:57 17:12 17:27 17:47 18:07 18:27 18:47 19:07"
"Tržnica 2,8 14:45 15:00 15:15 15:30 15:45 16:00 16:15 16:30 16:45 17:00 17:15 17:30 17:50 18:10 18:30 18:50 19:10"
"Mandrač 3,8 15:03 15:33 16:03 16:33 17:03 17:33 17:53 18:13 18:33 18:53 19:13"
"Pasarela 3,9 15:04 15:34 16:04 16:34 17:04 17:34 17:54 18:14 18:34 18:54 19:14"
"Tomšičeva ulica 4,3 15:05 15:35 16:05 16:35 17:05 17:35 17:55 18:15 18:35 18:55 19:15"
"Tomšičeva ulica K 4,5 2 15:06 2 15:36 2 16:06 2 16:36 2 17:06 2 17:36 17:56 18:16 18:36 18:56 19:16"
"Prisoje 4,9 A 15:08 A 15:38 A 16:08 A 16:38 A 17:08 A 17:38 17:58 18:18 18:38 18:58 19:18"
"Semedelski razgledi 5,3 15:10 15:40 16:10 16:40 17:10 17:40 18:00 18:20 18:40 19:00 19:20"
"Klaričeva ulica 5,7 15:11 15:41 16:11 16:41 17:11 17:41 18:01 18:21 18:41 19:01 19:21"
"Markovec 6,3 15:12 15:42 16:12 16:42 17:12 17:42 18:02 18:22 18:42 19:02 19:22"
"Markovec-Center Za gradom 6,7 14:58 15:14 15:28 15:44 15:58 16:14 16:28 16:44 16:58 17:14 17:28 17:44 18:04 18:24 18:44 19:04 19:24"
"Beblerjeva ulica 7,2 15:00 15:16 15:30 15:46 16:00 16:16 16:30 16:46 17:00 17:16 17:30 17:46 18:06 18:26 18:46 19:06 19:26"
"Kozlovičeva ulica 7,4 15:01 15:17 15:31 15:47 16:01 16:17 16:31 16:47 17:01 17:17 17:31 17:47 18:07 18:27 18:47 19:07 19:27"
"Bolnišnica 8,5 15:03 15:19 15:33 15:49 16:03 16:19 16:33 16:49 17:03 17:19 17:33 17:49 18:09 18:29 18:49 19:09 19:29"
Km 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51
"Bolnišnica 0,0 14:35 14:50 15:05 15:20 15:35 15:50 16:05 16:20 16:35 16:50 17:05 17:20 17:35 17:50 18:10 18:30 18:50"
"Kvedrova cesta 1,6 14:37 14:52 15:07 15:22 15:37 15:52 16:07 16:22 16:37 16:52 17:07 17:22 17:37 17:52 18:12 18:32 18:52"
"Markovec-Center Za gradom 2,1 14:40 14:55 15:10 15:25 15:40 15:55 16:10 16:25 16:40 16:55 17:10 17:25 17:40 17:55 18:15 18:35 18:55"
"Beblerjeva ulica 2,6 14:57 15:27 15:57 16:27 16:57 17:27 17:42 17:57 18:17 18:37 18:57"
"Kozlovičeva ulica 2,8 14:58 15:28 15:58 16:28 16:58 17:28 17:43 17:58 18:18 18:38 18:58"
"Kvedrova cesta 3,6 14:59 15:29 15:59 16:29 16:59 17:29 17:44 17:59 18:19 18:39 18:59"
"Markovec 3,9 2 15:01 2 15:31 2 16:01 2 16:31 2 17:01 2 17:31 17:46 18:01 18:21 18:41 19:01"
"Klaričeva ulica 4,5 A 15:02 A 15:32 A 16:02 A 16:32 A 17:02 A 17:32 17:47 18:02 18:22 18:42 19:02"
"Semedelski razgledi 4,9 15:03 15:33 16:03 16:33 17:03 17:33 17:48 18:03 18:23 18:43 19:03"
"Prisoje 5,2 15:04 15:34 16:04 16:34 17:04 17:34 17:49 18:04 18:24 18:44 19:04"
"Tomšičeva ulica K 5,6 15:06 15:36 16:06 16:36 17:06 17:36 17:51 18:06 18:26 18:46 19:06"
"Tomšičeva ulica 5,8 15:07 15:37 16:07 16:37 17:07 17:37 17:52 18:07 18:27 18:47 19:07"
"Pasarela 6,2 15:08 15:38 16:08 16:38 17:08 17:38 17:53 18:08 18:28 18:48 19:08"
"Zeleni park 7,2 14:52 15:11 15:22 15:41 15:52 16:11 16:22 16:41 16:52 17:11 17:22 17:41 17:56 18:11 18:31 18:51 19:11"
"Banka 7,5 14:53 15:12 15:23 15:42 15:53 16:12 16:23 16:42 16:53 17:12 17:23 17:42 17:57 18:12 18:32 18:52 19:12"
"Luka 8,5 14:55 15:14 15:25 15:44 15:55 16:14 16:25 16:44 16:55 17:14 17:25 17:44 17:59 18:14 18:34 18:54 19:14"
PH Sonce 14:56 15:15 15:26 15:45 15:56 16:15 16:26 16:45 16:56 17:15 17:26 17:45 18:00 18:15 18:35 18:55 19:15
"Supernova 9,1 14:57 15:16 15:27 15:46 15:57 16:16 16:27 16:46 16:57 17:16 17:27 17:46 18:01 18:16 18:36 18:56 19:16"
"Koper  10,0 14:59 15:18 15:29 15:48 15:59 16:18 16:29 16:48 16:59 17:18 17:29 17:48 18:03 18:18 18:38 18:58 19:18"
Režim obratovanja: vozi ob delovnikih celo leto razen julija in avgusta. Veljavnost: 18.11.2022Postajališča
PostajališčaLinija 2: Koper - Semedela - Markovec - Bolnica - Koper
Km 525354555657585960
"Koper 0,019:2019:4020:0020:2020:4021:0021:2021:4022:00"
"Supernova 0,919:2219:4220:0220:2220:4221:0221:2221:4222:02"
Barka II 19:2319:4320:0320:2320:4321:0321:2321:4322:03
"Sv.Ana V.n. 1,819:2619:4620:0620:2620:4621:0621:2621:4622:06"
"Kosovelov trg 2,319:2719:4720:0720:2720:4721:0721:2721:4722:07"
"Tržnica 2,819:3019:5020:1020:3020:5021:1021:3021:5022:10"
"Mandrač 3,819:3319:5320:1320:3320:5321:1321:3321:5322:13"
"Pasarela 3,919:3419:5420:1420:3420:5421:1421:3421:5422:14"
"Tomšičeva ulica 4,319:3519:5520:1520:3520:5521:1521:3521:5522:15"
"Tomšičeva ulica K 4,519:3619:5620:1620:3620:5621:1621:3621:5622:16"
"Prisoje 4,919:3819:5820:1820:3820:5821:1821:3821:5822:18"
"Semedelski razgledi 5,319:4020:0020:2020:4021:0021:2021:4022:0022:20"
"Klaričeva ulica 5,719:4120:0120:2120:4121:0121:2121:4122:0122:21"
"Markovec 6,319:4220:0220:2220:4221:0221:2221:4222:0222:22"
"Markovec-Center Za gradom 6,719:4420:0420:2420:4421:0421:2421:4422:0422:24"
"Beblerjeva ulica 7,219:4620:0620:2620:4621:0621:2621:4622:0622:26"
"Kozlovičeva ulica 7,419:4720:0720:2720:4721:0721:2721:4722:0722:27"
"Bolnišnica 8,519:4920:0920:2920:4921:0921:2921:4922:0922:29"
Postajališča Km 52535455565758596061
"Bolnišnica 0,019:1019:3019:5020:1020:3020:5021:1021:3021:5022:10"
"Kvedrova cesta 1,619:1219:3219:5220:1220:3220:5221:1221:3221:5222:12"
"Markovec-Center Za gradom 2,119:1519:3519:5520:1520:3520:5521:1521:3521:5522:15"
"Beblerjeva ulica 2,619:1719:3719:5720:1720:3720:5721:1721:3721:5722:17"
"Kozlovičeva ulica 2,819:1819:3819:5820:1820:3820:5821:1821:3821:5822:18"
"Kvedrova cesta 3,619:1919:3919:5920:1920:3920:5921:1921:3921:5922:19"
"Markovec 3,919:2119:4120:0120:2120:4121:0121:2121:4122:0122:21"
"Klaričeva ulica 4,519:2219:4220:0220:2220:4221:0221:2221:4222:0222:22"
"Semedelski razgledi 4,919:2319:4320:0320:2320:4321:0321:2321:4322:0322:23"
"Prisoje 5,219:2419:4420:0420:2420:4421:0421:2421:4422:0422:24"
"Tomšičeva ulica K 5,619:2619:4620:0620:2620:4621:0621:2621:4622:0622:26"
"Tomšičeva ulica 5,819:2719:4720:0720:2720:4721:0721:2721:4722:0722:27"
"Pasarela 6,219:2819:4820:0820:2820:4821:0821:2821:4822:0822:28"
"Zeleni park 7,219:3119:5120:1120:3120:5121:1121:3121:5122:1122:31"
"Banka 7,519:3219:5220:1220:3220:5221:1221:3221:5222:1222:32"
"Luka 8,519:3419:5420:1420:3420:5421:1421:3421:5422:1422:34"
PH Sonce 19:3519:5520:1520:3520:5521:1521:3521:5522:1522:35
"Supernova 9,119:3619:5620:1620:3620:5621:1621:3621:5622:1622:36"
"Koper  10,019:3819:5820:1820:3820:5821:1821:3821:5822:1822:38"
Režim obratovanja: vozi ob delovnikih celo leto razen julija in avgusta. Veljavnost: 18.11.2022Postajališča
